Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,trick-walkover4,Controller name:,acrobot_act,Duration:,16000,Created at,20/03/2025 17:56:26,,
Start positions,ArmL ArmR legL legR,0.0,0.0,186.005859375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_arm_l,0,4000,0.0,1000,0.0,0.0,-1000,0.0
sC,m_leg_r,0,4000,185.01708984375,1000,0.0,185.01708984375,-1000,0.0
sC,m_arm_r,0,4000,0.0,1000,0.0,0.0,-1000,0.0
sC,m_leg_l,0,4000,186.005859375,1000,0.0,186.005859375,-1000,0.0
sC,m_leg_r,4000,2000,185.01708984375,499,0.0,74.05517578125,-254,0.0
sC,m_arm_l,4000,5000,0.0,1250,0.0,0.0,-502,0.0
sC,m_arm_r,4000,2000,0.0,499,0.0,70.927734375,-254,0.0
sC,m_leg_l,4000,2000,186.005859375,499,0.0,56.47705078125,-254,0.0
sC,m_arm_r,6000,1000,70.927734375,250,0.0,70.927734375,-249,0.0
sC,m_leg_r,6000,1000,74.05517578125,250,0.0,74.05517578125,-249,0.0
sC,m_leg_l,6000,1000,56.47705078125,250,0.0,56.47705078125,-249,0.0
sC,m_arm_r,7000,1000,70.927734375,249,0.0,6.50390625,-250,0.0
sC,m_leg_l,7000,1000,56.47705078125,249,0.0,30.0,-250,0.0
sC,m_leg_r,7000,1000,74.05517578125,249,0.0,223.9453125,-250,0.0
sC,m_arm_r,8000,1000,6.50390625,250,0.0,6.50390625,-499,0.0
sC,m_leg_l,8000,1000,30.0,250,0.0,30.0,-500,0.0
sC,m_leg_r,8000,1000,223.9453125,250,0.0,223.9453125,-499,0.0
sC,m_leg_l,9000,2000,30.0,500,0.0,30.0,-499,0.0
sC,m_arm_l,9000,2000,0.0,499,0.0,-47.98828125,-250,0.0
sC,m_arm_r,9000,2000,6.50390625,499,0.0,-38.408203125,-250,0.0
sC,m_leg_r,9000,2000,223.9453125,499,0.0,309.52880859375,-250,0.0
sC,m_leg_l,11000,2000,30.0,499,0.0,330.0,-500,0.0
sC,m_arm_l,11000,1000,-47.98828125,250,0.0,-47.98828125,-250,0.0
sC,m_arm_r,11000,1000,-38.408203125,250,0.0,-38.408203125,-499,0.0
sC,m_leg_r,11000,1000,309.52880859375,250,0.0,309.52880859375,-249,0.0
sC,m_leg_r,12000,1000,309.52880859375,249,0.0,330.0,-500,0.0
sC,m_arm_r,12000,2000,-38.408203125,499,0.0,225.615234375,-250,0.0
sC,m_arm_l,12000,1000,-47.98828125,250,0.0,-47.98828125,-250,0.0
sC,m_leg_r,13000,2000,330.0,500,0.0,330.0,-249,0.0
sC,m_arm_l,13000,1000,-47.98828125,250,0.0,-47.98828125,-249,0.0
sC,m_leg_l,13000,2000,330.0,500,0.0,330.0,-249,0.0
sC,m_arm_r,14000,1000,225.615234375,250,0.0,225.615234375,-249,0.0
sC,m_arm_l,14000,1000,-47.98828125,249,0.0,142.294921875,-249,0.0
sC,m_arm_r,15000,1000,225.615234375,249,0.0,0.0,-1000,0.0
sC,m_arm_l,15000,1000,142.294921875,249,0.0,0.0,-1000,0.0
sC,m_leg_l,15000,1000,330.0,249,0.0,186.005859375,-1000,0.0
sC,m_leg_r,15000,1000,330.0,249,0.0,185.01708984375,-1000,0.0
