Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,walk_forwards,Controller name:,acrobot_travel,Duration:,2000,,,,
Start positions,ArmL ArmR legL legR,166.9921875,166.9921875,152.71728515625,112.03125,0.0,0.0,0.0,0.0
sC,m_leg_l,0,1000,152.71728515625,250,0.0,112.03125,-250,0.0
sC,m_leg_r,0,1000,112.03125,250,0.0,152.71728515625,-250,0.0
sC,m_arm_r,0,633,166.9921875,158,0.0,189.4921875,-158,0.0
sC,m_arm_l,0,633,166.9921875,158,0.0,189.4921875,-158,0.0
sC,m_arm_r,633,367,189.4921875,92,0.0,166.9921875,-92,0.0
sC,m_arm_l,633,367,189.4921875,92,0.0,166.9921875,-92,0.0
sC,m_arm_l,1000,633,166.9921875,158,0.0,189.4921875,-167,0.0
sC,m_leg_r,1000,1000,152.71728515625,250,0.0,112.03125,-250,0.0
sC,m_leg_l,1000,1000,112.03125,250,0.0,152.71728515625,-250,0.0
sC,m_arm_r,1000,633,166.9921875,158,0.0,189.4921875,-167,0.0
sC,m_arm_l,1633,367,189.4921875,92,0.0,166.9921875,-92,0.0
sC,m_arm_r,1633,367,189.4921875,92,0.0,166.9921875,-92,0.0
