Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,warmup_leg_stretch,Controller name:,acrobot_warmup,Duration:,18167
Start positions,ArmL ArmR legL legR,135.87890625,135.87890625,88.55712890625,88.55712890625,0.0,0.0,0.0,0.0
sC,m_arm_l,0,1533,135.87890625,419,0.0,100.283203125,-397,1.40625
sC,m_leg_l,0,700,88.55712890625,433,0.0,88.55712890625,-175,0.0
sC,m_leg_r,0,700,88.55712890625,433,0.0,88.55712890625,-175,0.0
sC,m_arm_r,0,1533,135.87890625,419,0.0,100.283203125,-397,1.40625
sC,m_leg_l,700,6600,88.55712890625,1650,0.0,51.86279296875,-3859,-0.146484375
sC,m_leg_r,700,6600,88.55712890625,1650,0.0,51.86279296875,-3859,-0.146484375
sC,m_arm_l,1533,6300,100.283203125,2145,-7.734375,72.333984375,-4783,-9.404296875
sC,m_arm_r,1533,6300,100.283203125,2145,-7.734375,72.333984375,-4783,-9.404296875
sC,m_leg_l,7300,1933,51.86279296875,483,0.0,51.86279296875,-483,0.0
sC,m_leg_r,7300,1933,51.86279296875,483,0.0,51.86279296875,-483,0.0
sC,m_arm_r,7833,1034,72.333984375,258,0.52734375,72.333984375,-258,0.0
sC,m_arm_l,7833,1034,72.333984375,258,0.52734375,72.333984375,-258,0.0
sC,m_arm_r,8867,1300,72.333984375,325,0.0,41.572265625,-325,0.0
sC,m_arm_l,8867,1300,72.333984375,325,0.0,41.572265625,-325,0.0
sC,m_leg_r,9233,934,51.86279296875,233,0.0,30.0,-233,0.0
sC,m_leg_l,9233,934,51.86279296875,233,0.0,30.0,-233,0.0
sC,m_leg_l,10167,4700,30.0,1175,0.0,30.0,-1175,0.0
sC,m_leg_r,10167,4700,30.0,1175,0.0,30.0,-1175,0.0
sC,m_arm_r,10167,3400,41.572265625,850,0.0,41.572265625,-850,0.0
sC,m_arm_l,10167,3400,41.572265625,850,0.0,41.572265625,-850,0.0
sC,m_arm_r,13567,1266,41.572265625,317,0.0,34.98046875,-317,0.0
sC,m_arm_l,13567,1266,41.572265625,317,0.0,34.98046875,-317,0.0
sC,m_arm_r,14833,1534,34.98046875,400,0.0,74.00390625,-579,-24.169921875
sC,m_arm_l,14833,1534,34.98046875,400,0.0,74.00390625,-579,-24.169921875
sC,m_leg_r,14867,3300,30.0,825,0.0,88.55712890625,-1000,0.0
sC,m_leg_l,14867,3300,30.0,825,0.0,88.55712890625,-1000,0.0
sC,m_arm_r,16367,1800,74.00390625,626,26.19140625,135.87890625,-520,0.0
sC,m_arm_l,16367,1800,74.00390625,626,26.19140625,135.87890625,-520,0.0
