Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,warmup_shoulder_stretch,Controller name:,acrobot_warmup,Duration:,15267
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_l,0,2500,185.01708984375,625,0.0,185.01708984375,-625,0.0
sC,m_arm_r,0,2000,180.0,500,0.0,92.197265625,-500,0.0
sC,m_arm_l,0,2000,180.0,500,0.0,92.197265625,-500,0.0
sC,m_leg_r,0,2500,185.01708984375,625,0.0,185.01708984375,-625,0.0
sC,m_arm_l,2000,500,92.197265625,125,0.0,92.197265625,-125,0.0
sC,m_arm_r,2000,500,92.197265625,125,0.0,92.197265625,-125,0.0
sC,m_leg_l,2500,1467,185.01708984375,367,0.0,93.720703125,-367,0.0
sC,m_leg_r,2500,1467,185.01708984375,367,0.0,93.720703125,-367,0.0
sC,m_arm_r,2500,1467,92.197265625,367,0.0,0.0,-367,0.0
sC,m_arm_l,2500,1467,92.197265625,367,0.0,0.0,-367,0.0
sC,m_arm_l,3967,4766,0.0,1192,0.0,0.0,-1192,0.0
sC,m_leg_r,3967,4766,93.720703125,1192,0.0,93.720703125,-1192,0.0
sC,m_arm_r,3967,4766,0.0,1192,0.0,0.0,-1192,0.0
sC,m_leg_l,3967,4766,93.720703125,1192,0.0,93.720703125,-1192,0.0
sC,m_leg_l,8733,3200,93.720703125,800,0.0,185.01708984375,-800,0.0
sC,m_leg_r,8733,3200,93.720703125,800,0.0,185.01708984375,-800,0.0
sC,m_arm_r,8733,3200,0.0,800,0.0,92.197265625,-800,0.0
sC,m_arm_l,8733,3200,0.0,800,0.0,92.197265625,-800,0.0
sC,m_arm_r,11933,367,92.197265625,92,0.0,92.197265625,-92,0.0
sC,m_arm_l,11933,367,92.197265625,92,0.0,92.197265625,-92,0.0
sC,m_arm_l,12300,2967,92.197265625,742,0.0,180.0,-742,0.0
sC,m_arm_r,12300,2967,92.197265625,742,0.0,180.0,-742,0.0
