Start time,,Move type,File,Duration,Repeat,Start speed °/s,kP,kI,Notes
0,0:0.000,start_only,act_salto_p1_opening.csv,147467,false,190,50,2,
150,0:0.150,movement,act_salto_p1_opening.csv,147467,false,190,50,2,
147700,2:27.700,movement,act_salto_slapstick_pose.csv,1000,false,75,0,0,OFF
151700,2:31.700,movement,act_salto_slapstick_pose.csv,1000,true,75,0,0.15,Iets spanning zodat benen niet overklappen
164782,2:44.782,start_only,act_salto_p2_slapstick.csv,18600,false,80,35,2,
165482,2:45.482,movement,act_salto_p2_slapstick.csv,18600,false,45,35,2,
185482,3:5.482,movement,pose_stand.csv,33,false,45,0,0,OFF
205050,3:25.050,start_only,act_salto_p3_tango_finale_leipzig_bows.csv,#N/A,false,190,55,2,
205350,3:25.350,movement,act_salto_p3_tango_finale_leipzig_bows.csv,#N/A,false,45,50,2,
,0:0.000,,,#N/A,false,45,50,2,
,0:0.000,,,#N/A,false,45,50,2,
,0:0.000,,,#N/A,false,45,50,2,
,0:0.000,,,#N/A,false,45,50,2,
,0:0.000,,,#N/A,false,45,50,2,
,0:0.000,,,#N/A,false,45,50,2,
,0:0.000,,,#N/A,false,45,50,2,
,0:0.000,,,#N/A,false,45,50,2,
,0:0.000,,,#N/A,false,45,50,2,
,0:0.000,,,#N/A,false,45,50,2,
,0:0.000,,,#N/A,false,45,20,2,
