Start time,,Move type,File,Duration,Repeat,Start speed °/s,kP,kI,Notes
0,0:0.000,movement,street_letsdance_p1.csv,144867,false,45,50,2,
144860,2:24.860,movement,pose_stand.csv,33,false,45,0,0,
150800,2:30.800,start_only,street_letsdance_p2.csv,84667,false,45,50,2,
157000,2:37.000,movement,street_letsdance_p2.csv,84667,false,45,50,2,
247430,4:7.430,movement,pose_stand.csv,33,false,45,0,0,
,0:0.000,,,#N/A,false,45,20,2,  
,0:0.000,,,#N/A,false,45,20,2,
,0:0.000,,,#N/A,false,45,20,2,
,0:0.000,,,#N/A,false,45,20,2,
,0:0.000,,,#N/A,false,45,20,2,
,0:0.000,,,#N/A,false,45,20,2,
,0:0.000,,,#N/A,false,45,20,2,
,0:0.000,,,#N/A,false,45,20,2,
,0:0.000,,,#N/A,false,45,20,2,
,0:0.000,,,#N/A,false,45,20,2,
,0:0.000,,,#N/A,false,45,20,2,
,0:0.000,,,#N/A,false,45,20,2,
,0:0.000,,,#N/A,false,45,20,2,
,0:0.000,,,#N/A,false,45,20,2,
